DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/21,97.02,69.25,19.39
IT,1/1/21,50.74,84.92,17.15
Logistics,1/1/21,43.55,62.86,11.76
Finance,2/1/21,96.83,69.61,19.36
IT,2/1/21,50.37,84.71,16.87
Logistics,2/1/21,43.64,63.34,12.08
Finance,3/1/21,97.14,69.78,19.52
IT,3/1/21,50.47,84.58,16.97
Logistics,3/1/21,43.83,63.04,12.24
Finance,4/1/21,97.38,69.61,19.66
IT,4/1/21,50.4,84.16,17.08
Logistics,4/1/21,43.76,63.41,12.22
Finance,5/1/21,97.21,69.86,19.79
IT,5/1/21,49.91,84.3,17.12
Logistics,5/1/21,44.08,63.64,12
Finance,6/1/21,97.76,69.38,19.49
IT,6/1/21,49.98,84.41,17.36
Logistics,6/1/21,43.79,63.99,12.19
Finance,7/1/21,97.34,69.27,19.3
IT,7/1/21,50.46,84.12,17.17
Logistics,7/1/21,43.59,64.36,12.5
Finance,8/1/21,97.64,69.22,19.27
IT,8/1/21,50.36,84.25,16.87
Logistics,8/1/21,43.66,64.45,12.32
Finance,9/1/21,98.07,69.49,19.53
IT,9/1/21,50.71,83.76,17
Logistics,9/1/21,43.83,64.7,12.2
Finance,10/1/21,97.61,70.02,19.25
IT,10/1/21,51.23,83.88,17.07
Logistics,10/1/21,43.72,64.47,12.45
Finance,11/1/21,97.84,69.61,19
IT,11/1/21,51.32,83.78,17.3
Logistics,11/1/21,43.24,64.65,12.34
Finance,12/1/21,97.8,69.73,18.76
IT,12/1/21,51.55,83.4,17.04
Logistics,12/1/21,43.16,65.12,12.57
Finance,13/1/21,98.11,69.61,18.97
IT,13/1/21,51.97,83.95,17.31
Logistics,13/1/21,42.74,65.64,12.77
Finance,14/1/21,97.87,69.81,18.79
IT,14/1/21,52.23,84.21,17.4
Logistics,14/1/21,42.99,65.63,13.1
Finance,15/1/21,97.68,70.23,18.74
IT,15/1/21,51.97,84.67,17.27
Logistics,15/1/21,42.64,65.91,13.12
Finance,16/1/21,97.22,70.27,18.79
IT,16/1/21,51.82,85.05,17.18
Logistics,16/1/21,42.97,65.88,12.89
Finance,17/1/21,97.46,70.75,18.55
IT,17/1/21,52.27,84.73,17.1
Logistics,17/1/21,42.58,65.99,12.99
Finance,18/1/21,97.71,70.96,18.8
IT,18/1/21,51.95,84.92,17.16
Logistics,18/1/21,43.09,66.45,13.05
Finance,19/1/21,97.28,70.57,18.94
IT,19/1/21,51.57,84.51,17.11
Logistics,19/1/21,43.53,66.38,12.82
Finance,20/1/21,97.35,70.74,19.08
IT,20/1/21,51.37,84.53,17.03
Logistics,20/1/21,43.19,66.22,12.81
Finance,21/1/21,97.09,71.27,18.97
IT,21/1/21,51.55,84.58,16.75
Logistics,21/1/21,43,66.42,12.85
Finance,22/1/21,97.39,71.74,18.88
IT,22/1/21,51.57,84.11,16.99
Logistics,22/1/21,43.2,66.08,12.92
Finance,23/1/21,97.4,71.36,19.17
IT,23/1/21,51.07,84.49,17.01
Logistics,23/1/21,42.85,65.81,13.18
Finance,24/1/21,97.66,71.81,19.21
IT,24/1/21,50.8,84.33,16.72
Logistics,24/1/21,42.81,65.99,13.48
Finance,25/1/21,97.6,71.35,19.19
IT,25/1/21,51.27,84.01,16.85
Logistics,25/1/21,43.27,66.15,13.41
Finance,26/1/21,97.15,71.14,19
IT,26/1/21,51.3,84.44,16.69
Logistics,26/1/21,43.59,66.28,13.24
Finance,27/1/21,97.52,71.04,18.77
IT,27/1/21,51.06,84.53,16.39
Logistics,27/1/21,44.14,65.87,13.24
Finance,28/1/21,97.56,71.26,18.57
IT,28/1/21,51.49,84.84,16.67
Logistics,28/1/21,44.38,65.64,13.21
Finance,29/1/21,97.13,71.11,18.42
IT,29/1/21,51.46,84.69,16.8
Logistics,29/1/21,43.92,65.85,12.94
Finance,30/1/21,97.42,71.45,18.22
IT,30/1/21,51.15,84.56,16.78
Logistics,30/1/21,44.07,65.7,13.02
Finance,31/1/21,96.96,70.98,18.34
IT,31/1/21,51,84.44,16.64
Logistics,31/1/21,44.37,66.17,13.3
Finance,1/2/21,96.67,70.54,18.57
IT,1/2/21,50.58,84.76,16.79
Logistics,1/2/21,44.57,65.71,13.05
Finance,2/2/21,96.22,70.18,18.66
IT,2/2/21,51.11,84.76,16.7
Logistics,2/2/21,44.24,65.85,13.13
Finance,3/2/21,96.29,70.48,18.38
IT,3/2/21,51.27,84.6,16.74
Logistics,3/2/21,44.12,65.73,12.86
Finance,4/2/21,96.29,70.33,18.57
IT,4/2/21,51.7,84.12,16.57
Logistics,4/2/21,43.88,66.12,13.04
Finance,5/2/21,96.01,70.3,18.6
IT,5/2/21,52.05,84.63,16.47
Logistics,5/2/21,43.39,66.66,13.07
Finance,6/2/21,95.96,70.38,18.71
IT,6/2/21,51.68,84.37,16.63
Logistics,6/2/21,43.55,66.97,12.97
Finance,7/2/21,96.19,70.81,19.03
IT,7/2/21,51.46,84.63,16.38
Logistics,7/2/21,43.36,67.08,12.8
Finance,8/2/21,95.91,71.01,18.79
IT,8/2/21,51.16,84.8,16.51
Logistics,8/2/21,42.96,67.15,12.89
Finance,9/2/21,96.39,70.95,18.79
IT,9/2/21,51.48,84.84,16.79
Logistics,9/2/21,42.97,66.69,12.79
Finance,10/2/21,96.29,71.33,18.73
IT,10/2/21,51.92,85.25,16.91
Logistics,10/2/21,43.3,66.38,12.53
Finance,11/2/21,96.42,71.72,18.9
IT,11/2/21,52.07,85.53,16.65
Logistics,11/2/21,43.63,66.18,12.78
Finance,12/2/21,96.5,71.8,18.69
IT,12/2/21,52.46,85.56,16.42
Logistics,12/2/21,44.08,65.96,12.49
Finance,13/2/21,96.71,72.14,18.49
IT,13/2/21,52.75,85.33,16.69
Logistics,13/2/21,44.1,65.58,12.28
Finance,14/2/21,96.91,72.29,18.65
IT,14/2/21,52.41,84.99,16.87
Logistics,14/2/21,44.39,65.5,12.49
Finance,15/2/21,96.7,72.71,18.5
IT,15/2/21,52.06,84.89,17.18
Logistics,15/2/21,43.94,65.61,12.26
Finance,16/2/21,96.34,72.48,18.52
IT,16/2/21,51.79,84.72,17.22
Logistics,16/2/21,44.09,66.02,12.49
Finance,17/2/21,96.64,72.46,18.44
IT,17/2/21,51.72,84.44,17.54
Logistics,17/2/21,44.36,65.55,12.27
Finance,18/2/21,96.81,72.33,18.39
IT,18/2/21,51.82,84.68,17.26
Logistics,18/2/21,44.27,65.75,12.2
Finance,19/2/21,96.86,72.71,18.71
IT,19/2/21,52.02,84.67,17.08
Logistics,19/2/21,44.07,66.3,12.4
Finance,20/2/21,97.36,72.78,18.96
IT,20/2/21,51.93,84.28,17.1
Logistics,20/2/21,43.72,66.25,12.43
Finance,21/2/21,97.82,73.27,18.88
IT,21/2/21,51.81,84.68,17.42
Logistics,21/2/21,43.48,66.25,12.76
Finance,22/2/21,97.94,73.2,18.71
IT,22/2/21,51.59,84.39,17.18
Logistics,22/2/21,43.79,65.88,12.52
Finance,23/2/21,97.62,73.5,18.52
IT,23/2/21,51.36,84.7,16.99
Logistics,23/2/21,43.73,65.89,12.56
Finance,24/2/21,97.8,73.49,18.51
IT,24/2/21,50.93,84.49,17.3
Logistics,24/2/21,43.66,65.82,12.47
Finance,25/2/21,97.45,73.89,18.55
IT,25/2/21,50.87,84.22,17.56
Logistics,25/2/21,43.23,65.45,12.18
Finance,26/2/21,97.85,73.97,18.47
IT,26/2/21,50.74,83.73,17.58
Logistics,26/2/21,42.82,65.96,12.5
Finance,27/2/21,98.17,74.35,18.38
IT,27/2/21,51.23,84.23,17.3
Logistics,27/2/21,43.15,65.64,12.62
Finance,28/2/21,98.16,73.98,18.69
IT,28/2/21,51.45,84.53,17.44
Logistics,28/2/21,43.7,65.98,12.88
Finance,1/3/21,97.88,74.46,18.8
IT,1/3/21,51.5,85.01,17.36
Logistics,1/3/21,43.8,66.05,12.98
Finance,2/3/21,98.17,74.3,18.95
IT,2/3/21,51.4,85.05,17.07
Logistics,2/3/21,44.02,66.6,12.82
Finance,3/3/21,98.17,74.37,19.26
IT,3/3/21,51.52,84.89,17.29
Logistics,3/3/21,44.53,66.46,12.78
Finance,4/3/21,98.06,74.92,18.99
IT,4/3/21,51.33,84.63,17.36
Logistics,4/3/21,45,66.07,12.72
Finance,5/3/21,98.6,74.69,18.76
IT,5/3/21,51.08,84.97,17.45
Logistics,5/3/21,45.23,65.7,12.93
Finance,6/3/21,98.33,74.66,18.82
IT,6/3/21,51.37,84.97,17.18
Logistics,6/3/21,45.35,65.46,12.87
Finance,7/3/21,98.1,74.33,19.12
IT,7/3/21,50.99,85.42,17.29
Logistics,7/3/21,45.48,65.14,13.07
Finance,8/3/21,97.8,74.29,19.27
IT,8/3/21,51.41,85.3,17.3
Logistics,8/3/21,45.32,65.52,13.2
Finance,9/3/21,97.42,73.88,19.01
