DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/19,55.81,45.81,7.13
IT,1/1/19,11.44,79.4,9.65
Logistics,1/1/19,50.02,46.94,6.24
Finance,2/1/19,55.31,47.8,7.43
IT,2/1/19,13.15,78.97,9.39
Logistics,2/1/19,50.25,45.51,5.95
Finance,3/1/19,55.16,47.62,7.55
IT,3/1/19,13.53,79.77,9.11
Logistics,3/1/19,48.63,44.49,5.88
Finance,4/1/19,56.2,45.76,7.42
IT,4/1/19,12.48,81.48,9.3
Logistics,4/1/19,48.37,44.61,5.81
Finance,5/1/19,56.21,44.71,7.5
IT,5/1/19,12.29,79.67,9.29
Logistics,5/1/19,48.7,43.28,5.85
Finance,6/1/19,55.47,45.39,7.22
IT,6/1/19,14.12,80.11,9.55
Logistics,6/1/19,46.75,43.13,6.13
Finance,7/1/19,53.47,45.43,7.22
IT,7/1/19,14.52,80.44,9.66
Logistics,7/1/19,47.87,43.82,5.83
Finance,8/1/19,55.52,44.4,7.33
IT,8/1/19,16.04,82.46,9.57
Logistics,8/1/19,47.25,43.67,5.68
Finance,9/1/19,55.92,44,7.03
IT,9/1/19,17.84,82.81,9.34
Logistics,9/1/19,46.34,45.32,5.81
Finance,10/1/19,54.52,43.08,7.08
IT,10/1/19,18.68,81.85,9.51
Logistics,10/1/19,45.57,43.97,5.59
Finance,11/1/19,55.11,42.46,7
IT,11/1/19,20.22,80.19,9.22
Logistics,11/1/19,46.71,43.02,5.5
Finance,12/1/19,57.11,43.79,6.77
IT,12/1/19,19.02,80.9,9.03
Logistics,12/1/19,47.16,43.88,5.45
Finance,13/1/19,56.44,44.33,7.04
IT,13/1/19,20.49,80.14,9.26
Logistics,13/1/19,46.42,42.13,5.34
Finance,14/1/19,56.19,44.15,7.37
IT,14/1/19,18.52,81.29,9.07
Logistics,14/1/19,48.51,43.48,5.48
Finance,15/1/19,54.63,43.85,7.41
IT,15/1/19,17.35,79.63,9.13
Logistics,15/1/19,46.66,42.15,5.48
Finance,16/1/19,54.59,44.9,7.69
IT,16/1/19,17.73,77.95,9.1
Logistics,16/1/19,48.11,41.63,5.7
Finance,17/1/19,56.44,43.64,7.91
IT,17/1/19,16.67,79.21,8.84
Logistics,17/1/19,46.44,39.67,6.01
Finance,18/1/19,55.82,45.52,7.64
IT,18/1/19,15.26,78.69,8.75
Logistics,18/1/19,46.96,40.66,5.77
Finance,19/1/19,57.63,47.08,7.77
IT,19/1/19,13.73,77.47,8.79
Logistics,19/1/19,46.88,42.56,5.51
Finance,20/1/19,59.52,45.28,7.56
IT,20/1/19,15.8,77.27,8.91
Logistics,20/1/19,48.83,41.7,5.35
Finance,21/1/19,58.66,43.7,7.36
IT,21/1/19,14.54,76.26,8.86
Logistics,21/1/19,47.05,40.52,5.4
Finance,22/1/19,60.49,45.28,7.64
IT,22/1/19,14.65,77.47,8.88
Logistics,22/1/19,46.3,42.54,5.29
Finance,23/1/19,61.81,45.84,7.9
IT,23/1/19,14.65,75.67,8.95
Logistics,23/1/19,46.66,40.54,5.15
Finance,24/1/19,60.76,45.36,7.79
IT,24/1/19,16.57,74.56,8.78
Logistics,24/1/19,44.69,39.94,5.08
Finance,25/1/19,59.01,44.23,7.88
IT,25/1/19,15.72,76.55,8.51
Logistics,25/1/19,43.55,41.03,4.84
Finance,26/1/19,60.58,43.03,7.68
IT,26/1/19,16.79,78.34,8.72
Logistics,26/1/19,43.15,40.94,5.1
Finance,27/1/19,59.33,42.07,7.98
IT,27/1/19,17.68,79.98,8.62
Logistics,27/1/19,44.38,39.01,5.37
Finance,28/1/19,61.36,42.94,7.92
IT,28/1/19,19.1,80.95,8.79
Logistics,28/1/19,45.99,38.6,5.1
Finance,29/1/19,60.26,42.2,7.69
IT,29/1/19,19.17,79.84,8.78
Logistics,29/1/19,45.56,38.5,5.23
Finance,30/1/19,58.51,43.11,7.98
IT,30/1/19,18.44,79.89,8.53
Logistics,30/1/19,43.91,38.45,5.04
Finance,31/1/19,57.14,41.63,8.05
IT,31/1/19,17.91,79,8.38
Logistics,31/1/19,42.41,39.72,4.92
Finance,1/2/19,56.3,40.78,8.13
IT,1/2/19,17.06,77.86,8.26
Logistics,1/2/19,44.25,38.98,4.98
Finance,2/2/19,56.67,40.96,7.88
IT,2/2/19,19.16,77.43,8.15
Logistics,2/2/19,45.52,38.37,4.82
Finance,3/2/19,56.95,41.36,7.66
IT,3/2/19,21.17,77.57,8.37
Logistics,3/2/19,47.46,39.71,4.59
Finance,4/2/19,56.91,43.38,7.49
IT,4/2/19,20.21,77.08,8.18
Logistics,4/2/19,48.76,39.63,4.29
Finance,5/2/19,56.77,42.28,7.37
IT,5/2/19,20.94,75.87,8.1
Logistics,5/2/19,47.33,39.56,4.12
Finance,6/2/19,56.43,41.18,7.16
IT,6/2/19,19.46,74.7,8.07
Logistics,6/2/19,46.08,39.04,4.03
Finance,7/2/19,55.65,42.52,7.22
IT,7/2/19,20.34,73.31,8.15
Logistics,7/2/19,46.88,38.2,3.73
Finance,8/2/19,53.67,41.03,7.43
IT,8/2/19,18.51,74.69,7.95
Logistics,8/2/19,46.21,38.04,3.48
Finance,9/2/19,53.47,41.83,7.52
IT,9/2/19,19.58,73.76,8.18
Logistics,9/2/19,45.31,38.24,3.29
Finance,10/2/19,53.03,42.08,7.7
IT,10/2/19,20.45,72.66,7.89
Logistics,10/2/19,46.47,39.33,3.08
Finance,11/2/19,54.63,40.18,7.45
IT,11/2/19,19.81,71.92,8.04
Logistics,11/2/19,45.5,39.12,3.24
Finance,12/2/19,56.57,39.96,7.65
IT,12/2/19,19.43,73.96,7.95
Logistics,12/2/19,44.68,38.35,3.25
Finance,13/2/19,55.63,41.94,7.51
IT,13/2/19,21.22,74.83,7.67
Logistics,13/2/19,43.64,36.96,3.16
Finance,14/2/19,54.42,41.72,7.7
IT,14/2/19,19.33,75.22,7.92
Logistics,14/2/19,44.97,36.89,3
Finance,15/2/19,54.32,39.96,8.03
IT,15/2/19,17.35,74.17,7.68
Logistics,15/2/19,45.63,35.6,3.07
Finance,16/2/19,55.8,41.91,8.36
IT,16/2/19,17.32,73.45,7.6
Logistics,16/2/19,46.17,35.51,3.13
Finance,17/2/19,55.73,41.98,8.42
IT,17/2/19,15.46,72.09,7.52
Logistics,17/2/19,45.72,35.7,3.17
Finance,18/2/19,56.79,42.94,8.62
IT,18/2/19,17.39,70.48,7.82
Logistics,18/2/19,44.17,36.15,2.93
Finance,19/2/19,58.33,43,8.48
IT,19/2/19,16.83,68.71,7.66
Logistics,19/2/19,42.6,34.4,2.77
Finance,20/2/19,59.89,44.19,8.34
IT,20/2/19,16.75,70.13,7.69
Logistics,20/2/19,43.76,32.72,2.53
Finance,21/2/19,60.05,42.38,8.65
IT,21/2/19,15.31,68.63,7.75
Logistics,21/2/19,42.39,33.84,2.4
Finance,22/2/19,58.56,44.22,8.44
IT,22/2/19,15.29,70.4,7.52
Logistics,22/2/19,43.25,34.2,2.49
Finance,23/2/19,58.81,43.12,8.72
IT,23/2/19,13.72,71.27,7.44
Logistics,23/2/19,43.63,35.34,2.6
Finance,24/2/19,58.94,42.39,8.53
IT,24/2/19,14.95,73.35,7.53
Logistics,24/2/19,44.38,35.69,2.36
Finance,25/2/19,58.13,43.14,8.58
IT,25/2/19,15.8,71.8,7.53
Logistics,25/2/19,44.56,37.01,2.29
Finance,26/2/19,57.22,42.13,8.48
IT,26/2/19,13.9,69.91,7.34
Logistics,26/2/19,44.51,36.83,2.4
Finance,27/2/19,55.55,41.1,8.75
IT,27/2/19,15.85,68.57,7.45
Logistics,27/2/19,45.74,37.33,2.23
Finance,28/2/19,54.61,39.25,8.93
IT,28/2/19,16.94,70.01,7.19
Logistics,28/2/19,44.72,37.73,2.03
Finance,1/3/19,55.81,37.7,9.05
IT,1/3/19,16.83,71.32,7.05
Logistics,1/3/19,43.56,38.25,2.14
Finance,2/3/19,57.17,37.08,9.02
IT,2/3/19,18.6,71.31,7.37
Logistics,2/3/19,43.39,38.53,1.98
Finance,3/3/19,56.22,38.35,8.97
IT,3/3/19,20.39,73.32,7.33
Logistics,3/3/19,44.11,40.46,1.91
Finance,4/3/19,56.61,38.91,9.1
IT,4/3/19,20.53,73.32,7.18
Logistics,4/3/19,42.41,40.94,1.94
Finance,5/3/19,58.42,37.35,8.97
IT,5/3/19,21.36,73.1,6.93
Logistics,5/3/19,42.35,41.29,1.83
Finance,6/3/19,59.64,35.46,8.71
IT,6/3/19,22.19,72.57,6.69
Logistics,6/3/19,42.15,39.63,1.63
Finance,7/3/19,58.02,36.57,8.46
IT,7/3/19,23.68,71.1,6.77
Logistics,7/3/19,40.52,39.08,1.65
Finance,8/3/19,58.8,36.96,8.68
IT,8/3/19,22.59,69.85,6.5
Logistics,8/3/19,38.75,38.37,1.53
Finance,9/3/19,59.05,35.82,8.94
IT,9/3/19,21.19,69.41,6.69
Logistics,9/3/19,39.32,37.2,1.72
Finance,10/3/19,57.4,35.77,8.94
IT,10/3/19,22.82,68.5,6.5
Logistics,10/3/19,40.31,35.5,1.84
Finance,11/3/19,56.69,36.21,9.1
IT,11/3/19,24.2,70.09,6.65
Logistics,11/3/19,41.86,36.71,2
Finance,12/3/19,57.18,37.18,9.29
IT,12/3/19,25.26,70.32,6.8
Logistics,12/3/19,40.95,37.62,2.09
Finance,13/3/19,56.26,38.09,9.18
IT,13/3/19,25.6,72.05,6.95
Logistics,13/3/19,40.33,37.75,1.83
Finance,14/3/19,55.09,40.19,9.2
IT,14/3/19,24.47,74.03,7.22
Logistics,14/3/19,39.99,38.81,1.89
Finance,15/3/19,57.01,42.13,8.92
IT,15/3/19,23.67,72.23,7.55
Logistics,15/3/19,39.21,37.24,1.76
Finance,16/3/19,57.71,42.85,8.86
IT,16/3/19,23.38,71.41,7.63
Logistics,16/3/19,37.7,38.19,1.86
Finance,17/3/19,56.74,43.78,8.72
IT,17/3/19,23.23,70.9,7.49
Logistics,17/3/19,36.75,38.06,1.87
Finance,18/3/19,56.24,45.08,8.98
IT,18/3/19,23.84,72.52,7.61
Logistics,18/3/19,37.32,37.02,2.02
Finance,19/3/19,54.78,45.53,8.7
IT,19/3/19,22.95,72.9,7.76
Logistics,19/3/19,36.84,37.75,2.19
Finance,20/3/19,55.43,46.07,8.87
