DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/22,104.58,80.79,24.92
IT,1/1/22,61.91,94.84,24.53
Logistics,1/1/22,46.94,69.44,16.12
Finance,2/1/22,104.72,80.57,25.17
IT,2/1/22,61.42,94.47,24.49
Logistics,2/1/22,46.9,69.35,16.17
Finance,3/1/22,104.39,80.29,25.39
IT,3/1/22,61.17,94.31,24.33
Logistics,3/1/22,47.15,68.98,16.33
Finance,4/1/22,104.85,79.79,25.31
IT,4/1/22,61.32,94.57,24.14
Logistics,4/1/22,46.89,69.29,16.04
Finance,5/1/22,104.61,80.19,25.57
IT,5/1/22,60.99,94.59,24.23
Logistics,5/1/22,46.78,69.29,15.74
Finance,6/1/22,104.79,80.38,25.59
IT,6/1/22,60.59,95.13,24.06
Logistics,6/1/22,46.67,69.5,16.05
Finance,7/1/22,105.15,80.89,25.76
IT,7/1/22,60.28,95.26,24.01
Logistics,7/1/22,46.55,69.33,16.36
Finance,8/1/22,105.44,80.46,25.87
IT,8/1/22,60.82,95.76,23.81
Logistics,8/1/22,46.98,68.93,16.1
Finance,9/1/22,105.63,80.26,25.74
IT,9/1/22,60.41,95.59,23.87
Logistics,9/1/22,47.32,68.83,16.13
Finance,10/1/22,105.19,79.83,26.05
IT,10/1/22,60.84,95.09,24.12
Logistics,10/1/22,47.62,68.72,16.05
Finance,11/1/22,105.46,80.29,26.18
IT,11/1/22,61.01,94.9,23.9
Logistics,11/1/22,48.14,69.13,16.32
Finance,12/1/22,105.73,80.19,26.34
IT,12/1/22,60.99,95.1,23.7
Logistics,12/1/22,47.96,69.59,16.28
Finance,13/1/22,105.92,80,26.05
IT,13/1/22,61.17,94.72,23.69
Logistics,13/1/22,48.04,69.09,16.47
Finance,14/1/22,105.61,79.94,26.08
IT,14/1/22,61.11,94.93,23.45
Logistics,14/1/22,47.55,69.57,16.4
Finance,15/1/22,105.23,80.27,26.06
IT,15/1/22,61.03,94.77,23.36
Logistics,15/1/22,47.32,69.56,16.61
Finance,16/1/22,105.48,80.03,26.29
IT,16/1/22,61.53,94.94,23.58
Logistics,16/1/22,47.51,69.53,16.76
Finance,17/1/22,105.78,80.49,26.07
IT,17/1/22,61.2,94.99,23.63
Logistics,17/1/22,47.92,69.38,16.78
Finance,18/1/22,105.47,80.31,26.27
IT,18/1/22,60.71,95.45,23.94
Logistics,18/1/22,47.75,69.64,17.09
Finance,19/1/22,106.02,80.17,26.5
IT,19/1/22,60.83,95.55,24.12
Logistics,19/1/22,47.31,69.16,16.8
Finance,20/1/22,106.09,79.99,26.73
IT,20/1/22,61.32,96.06,23.88
Logistics,20/1/22,46.93,69.13,17.12
Finance,21/1/22,106.38,79.97,26.94
